id,date,location,species,latinName
02WNholuSg6ndCk4c1dA,2022-08-01T06:40:31,Manchester,Marsh tick,Ixodes apronophorus
02rFwLCaAwZSVxdTDicK,2014-09-12T23:33:03,London,Southern rodent tick,Ixodes acuminatus
05349NmKTyfUhYKZNNH0,2015-03-17T09:10:25,Glasgow,Passerine tick,Dermacentor frontalis
0JDKkIqLbrytQyWTq08t,2019-02-20T13:56:04,Birmingham,Passerine tick,Dermacentor frontalis
0Jac6jm48OtR2AMDmNZn,2017-11-30T11:50:02,Southampton,Tree-hole tick,Ixodes arboricola
0KWpLGYsmDgVEVQckW7f,2016-09-19T06:05:49,Glasgow,Tree-hole tick,Ixodes arboricola
0L5BVSzmm898d1JCBaVB,2023-07-20T21:30:11,Nottingham,Passerine tick,Dermacentor frontalis
0PPxLMBVzgqsoA8ExrkR,2022-02-03T15:49:52,Sheffield,Fox/badger tick,Ixodes canisuga
0PjHl5xUUWf9Taf2fHxN,2024-06-12T20:03:52,Sheffield,Marsh tick,Ixodes apronophorus
0YAF6rRZ8QL8n47OGxcJ,2019-01-30T07:47:29,Liverpool,Southern rodent tick,Ixodes acuminatus
0c0k4ArSwnqmBJOF8zTH,2022-09-02T01:21:13,Nottingham,Passerine tick,Dermacentor frontalis
0cFvJcqQDZ2KXHlLebv4,2020-07-03T13:35:07,Edinburgh,Marsh tick,Ixodes apronophorus
0mgV5wo4mQ9i0t8Hpfdw,2020-10-19T21:35:03,London,Tree-hole tick,Ixodes arboricola
0ravs6s6kOWxvwTQVDAe,2016-09-16T13:43:34,Newcastle,Southern rodent tick,Ixodes acuminatus
0sRQsA0wItCftZQFkJuG,2019-12-19T20:33:10,Edinburgh,Fox/badger tick,Ixodes canisuga
0t6DXz0QgOMjSKqCST8J,2021-12-26T06:52:07,Birmingham,Passerine tick,Dermacentor frontalis
0uCFMyqZJDRBYAmEFpSL,2015-09-20T13:43:51,Manchester,Marsh tick,Ixodes apronophorus
0wcc3HT0lnp2jkAy7q6Y,2024-04-17T20:31:08,Leicester,Tree-hole tick,Ixodes arboricola
17KF4VZgcDZRyFfs2bXd,2019-07-19T16:17:59,Glasgow,Fox/badger tick,Ixodes canisuga
18eYwPQXGmWl3ZnyiYLD,2015-03-22T04:53:53,Nottingham,Tree-hole tick,Ixodes arboricola
1BAyUx8rQnqelYaMLqmP,2015-03-06T15:04:32,Bristol,Fox/badger tick,Ixodes canisuga
1FbUZqbO3bggzhPn83f6,2016-03-19T06:22:59,Manchester,Marsh tick,Ixodes apronophorus
1SaWWwei5I8AFbxsl9UE,2020-09-05T15:39:10,Manchester,Tree-hole tick,Ixodes arboricola
1UAk7dOWT61bT8o8Ur6s,2012-05-02T03:22:57,London,Tree-hole tick,Ixodes arboricola
1VhTOVT9kr5E1V3J2rQ1,2018-10-21T04:07:16,Nottingham,Southern rodent tick,Ixodes acuminatus
1VsrvUmhvA9wLvuahmgX,2012-06-27T03:19:07,Nottingham,Tree-hole tick,Ixodes arboricola
1WTkNtTMvlPMMgyMcrMb,2024-12-08T20:09:18,Bristol,Marsh tick,Ixodes apronophorus
1X5DO4d2kst8TDz5yeUg,2020-07-20T09:44:59,Cardiff,Passerine tick,Dermacentor frontalis
1ZSMadQvZPRkCbqZXAYH,2015-08-22T05:17:19,Leicester,Southern rodent tick,Ixodes acuminatus
1c59JwAnHry7SIbs2yfm,2015-06-11T01:55:27,Nottingham,Passerine tick,Dermacentor frontalis
1cwi6SlTNeS2WCXeWJWx,2012-03-10T00:08:03,Cardiff,Tree-hole tick,Ixodes arboricola
1dc3Sq3ckh8fQ4qm0cSz,2014-05-23T13:45:01,Manchester,Passerine tick,Dermacentor frontalis
1dnyM0apCiT8NGr9TBIr,2024-07-08T01:47:29,Manchester,Fox/badger tick,Ixodes canisuga
1gtMVjRmTki0Zd9Y3Itd,2014-08-13T10:51:17,Edinburgh,Tree-hole tick,Ixodes arboricola
1jg81lcxSkVHqe7MXBF7,2013-04-17T19:43:42,Southampton,Fox/badger tick,Ixodes canisuga
1meKWioAA6aqH8Nw41vp,2020-12-20T11:06:49,Glasgow,Tree-hole tick,Ixodes arboricola
1q1Z4pXssarDS2T1WhLp,2013-12-08T02:22:51,Cardiff,Passerine tick,Dermacentor frontalis
1tS6iH0z12OKj8kt7QRu,2013-09-20T23:15:56,Newcastle,Southern rodent tick,Ixodes acuminatus
1uSBJEH1JCknFpgNLKtZ,2017-01-25T18:18:51,Manchester,Southern rodent tick,Ixodes acuminatus
21YeuUkAlXgWklaq0Oeb,2021-03-07T19:08:07,Bristol,Southern rodent tick,Ixodes acuminatus
2574jc4mgnVIP5yGDgmQ,2015-09-19T18:50:13,Southampton,Passerine tick,Dermacentor frontalis
2AoC73JALdJTozXVptx1,2023-11-21T21:26:43,Manchester,Southern rodent tick,Ixodes acuminatus
2IGPQFRPwwHyK13GUjSN,2018-02-05T02:07:04,Nottingham,Marsh tick,Ixodes apronophorus
2OCxVnctUCuzA4nS3aIX,2023-03-20T22:00:35,Bristol,Southern rodent tick,Ixodes acuminatus
2YFTaHRPnYF3wQERz3gq,2015-07-05T09:49:58,Birmingham,Tree-hole tick,Ixodes arboricola
2aJ0Nbp40AA37xTH3eWb,2023-03-01T07:21:43,Birmingham,Southern rodent tick,Ixodes acuminatus
2ad68NvzFdRp5BIBN0e1,2022-03-28T06:06:58,Birmingham,Passerine tick,Dermacentor frontalis
2cv4kihvGZ1M3JCz1dS6,2024-01-06T21:51:00,Liverpool,Marsh tick,Ixodes apronophorus
2ex2JxssJBTn5Gytu4dY,2019-02-01T18:50:39,Birmingham,Passerine tick,Dermacentor frontalis
2jznlhICSCIrnPJ8rgQ7,2017-12-27T05:46:35,Newcastle,Southern rodent tick,Ixodes acuminatus
2pys19ACVjn5pWjRRxaB,2017-06-20T13:50:08,Cardiff,Marsh tick,Ixodes apronophorus
33sx6D9Z0WN3qO6pCLwE,2013-09-03T19:03:43,Cardiff,Marsh tick,Ixodes apronophorus
3C81xuaYJNAgGoMh9cdT,2018-02-07T07:57:13,Southampton,Passerine tick,Dermacentor frontalis
3EhiuZeS21dXpMZTNJEq,2019-10-15T04:19:36,Glasgow,Passerine tick,Dermacentor frontalis
3HmoQzKtH9LTa8POQ5pn,2016-04-21T06:42:09,Edinburgh,Marsh tick,Ixodes apronophorus
3KIhIxMpAXjXZLbljrBP,2016-04-03T14:00:37,Glasgow,Southern rodent tick,Ixodes acuminatus
3KeoYblTvAKYVRpsPuE0,2021-07-04T10:55:49,Leeds,Passerine tick,Dermacentor frontalis
3L6TsvB67MTMP8CS18O2,2014-09-17T00:03:23,Cardiff,Tree-hole tick,Ixodes arboricola
3Nogikm5ECn9BOzGemXt,2024-09-12T05:39:11,Southampton,Fox/badger tick,Ixodes canisuga
3Qj53M61V3tLVwBNNPEY,2020-11-09T10:03:31,Glasgow,Marsh tick,Ixodes apronophorus
3WDoZ4kGpYvjEyYaGYGw,2015-04-19T11:48:28,London,Marsh tick,Ixodes apronophorus
3WzSJP8VpilsnyxdIVK7,2013-06-08T10:20:21,Leicester,Marsh tick,Ixodes apronophorus
3XY7jBZDKFZGsTjy72Hw,2019-10-23T20:15:01,Nottingham,Tree-hole tick,Ixodes arboricola
3a7xGlfGDsu796YSmXLM,2018-07-29T09:32:00,Edinburgh,Southern rodent tick,Ixodes acuminatus
3cqL3ROuepjfQMs9ngvc,2022-07-03T20:22:01,Bristol,Marsh tick,Ixodes apronophorus
3d48gn6fHVyjvezJNAXQ,2012-01-26T14:15:56,Manchester,Southern rodent tick,Ixodes acuminatus
3haE5ThpcoVM0rK52S0M,2013-08-08T00:19:41,Glasgow,Passerine tick,Dermacentor frontalis
3jfzge9TUhip9lLYUEUF,2022-05-10T10:29:10,Edinburgh,Southern rodent tick,Ixodes acuminatus
3lRwmKJZzgD7nn4rt0rh,2022-06-13T12:48:38,Liverpool,Passerine tick,Dermacentor frontalis
3lkxXuO5Vwf1SmuMhBfK,2018-11-25T03:35:57,Bristol,Fox/badger tick,Ixodes canisuga
3qKjc1DFIBTtNrpUgRkf,2023-12-09T08:17:21,Southampton,Marsh tick,Ixodes apronophorus
3vAbBAAcmpIC0uFp4qK9,2024-10-23T00:29:35,Nottingham,Fox/badger tick,Ixodes canisuga
3vPvL7YSxqalOZ0PRNAF,2018-02-25T00:06:31,London,Southern rodent tick,Ixodes acuminatus
409BBD9tVjUcsiNgJEFm,2014-04-17T00:24:28,Manchester,Fox/badger tick,Ixodes canisuga
446I1APVZL5warCVwvgK,2018-02-11T04:34:18,Edinburgh,Southern rodent tick,Ixodes acuminatus
44F6xF2nAR63JLoudJTH,2018-03-11T00:59:26,Birmingham,Marsh tick,Ixodes apronophorus
45giE11e9oGHGyOXa7Cn,2023-08-11T19:58:57,Edinburgh,Marsh tick,Ixodes apronophorus
46B6DXuzyJVxdM2mrywB,2021-04-21T02:40:22,Cardiff,Fox/badger tick,Ixodes canisuga
46Bn6f8zq7YVl208EW1A,2024-04-20T21:01:07,Leeds,Southern rodent tick,Ixodes acuminatus
46nOhsoyrrsadruPfDZQ,2019-05-20T14:29:24,Cardiff,Fox/badger tick,Ixodes canisuga
48gLN6vogVwvd36ZJjVL,2023-12-06T14:02:08,Edinburgh,Marsh tick,Ixodes apronophorus
4BpYXknaXLU6PapCN7Ie,2020-07-12T14:00:33,Liverpool,Tree-hole tick,Ixodes arboricola
4MkOEqCML2vUFL7h7RrB,2023-02-27T09:09:01,Nottingham,Marsh tick,Ixodes apronophorus
4RLJWhFRd83xZY2Fu2Vk,2022-06-29T21:36:28,Liverpool,Tree-hole tick,Ixodes arboricola
4Ro2iFhtdF2SGit1gzOH,2020-06-25T00:44:33,Bristol,Southern rodent tick,Ixodes acuminatus
4VNbwkpZQVkM1jSJ3tIV,2015-08-03T13:38:08,Edinburgh,Southern rodent tick,Ixodes acuminatus
4XlbZB98NFfaIaZS1sdR,2020-08-19T12:07:08,Leicester,Southern rodent tick,Ixodes acuminatus
4oubeepyeR3M3I693E5I,2015-05-19T07:09:40,Liverpool,Southern rodent tick,Ixodes acuminatus
4roCxtIrNuW2SERVIKTL,2015-07-04T00:47:36,Birmingham,Fox/badger tick,Ixodes canisuga
4whMANj754FhlLX4Od9N,2013-10-12T00:33:44,Sheffield,Fox/badger tick,Ixodes canisuga
4yzqbYbSPWIW6smAVQzQ,2019-09-22T09:11:24,London,Passerine tick,Dermacentor frontalis
52TXdCor1RrFbeakilyb,2019-08-08T12:02:22,Leeds,Fox/badger tick,Ixodes canisuga
5KPMyE7RLO5QMoQDAeUG,2022-04-27T20:01:13,Birmingham,Fox/badger tick,Ixodes canisuga
5Qe4AAJsQpmQYlXmQoHn,2017-07-11T16:46:25,Southampton,Passerine tick,Dermacentor frontalis
5QiPc4W0jJqy2xV4pGx8,2012-05-11T15:10:47,Glasgow,Fox/badger tick,Ixodes canisuga
5ct4qdYjEDARY4ki9iL1,2012-08-20T19:15:53,Sheffield,Tree-hole tick,Ixodes arboricola
5dA3kzKUmXMt6G9UvkvG,2012-01-17T08:20:07,Nottingham,Passerine tick,Dermacentor frontalis
5fpBbElEfHfG0vFErOoz,2013-07-11T08:39:47,Glasgow,Passerine tick,Dermacentor frontalis
5hBTxnp6BB1WT30MYK1P,2016-06-09T03:33:16,Bristol,Passerine tick,Dermacentor frontalis
5obLk5ADwtVMaHP8mvRZ,2019-07-17T13:49:20,Bristol,Fox/badger tick,Ixodes canisuga
5tYPKiWr6bMuMC7lc2Eq,2019-04-22T07:22:11,Edinburgh,Marsh tick,Ixodes apronophorus
5zGlbMy45diJFgDwGt0b,2020-03-24T17:15:33,Cardiff,Fox/badger tick,Ixodes canisuga
641TKZaZ7oGv90DIHowL,2018-02-09T12:40:57,Nottingham,Fox/badger tick,Ixodes canisuga
684sh2EI7jB0PotoPDcy,2023-03-23T22:05:04,Sheffield,Tree-hole tick,Ixodes arboricola
6Av6Cyy21rSAEnnTfEiE,2016-09-27T03:27:56,Leicester,Fox/badger tick,Ixodes canisuga
6BgeW0SeM37jZNYrzzHd,2015-04-08T07:26:58,Glasgow,Marsh tick,Ixodes apronophorus
6EAhpY86qoLTW76pGT3G,2015-03-19T23:14:03,Birmingham,Tree-hole tick,Ixodes arboricola
6EotzaikFXHVnCgFA49X,2014-03-12T07:34:49,Manchester,Fox/badger tick,Ixodes canisuga
6UVP1rzrW23gvOm2oxT3,2020-01-13T03:59:56,Sheffield,Southern rodent tick,Ixodes acuminatus
6aMgu1nQOYG4NlhNtL2V,2023-07-30T06:01:12,London,Tree-hole tick,Ixodes arboricola
6eSLU6MGCz3wSh5UKFN5,2018-10-02T04:13:24,Newcastle,Passerine tick,Dermacentor frontalis
6f3U0O5DcqJU39bi6mZ9,2021-01-19T17:01:18,Leicester,Tree-hole tick,Ixodes arboricola
6nIBiritQYfQ32VokYSm,2013-07-18T23:47:12,Edinburgh,Passerine tick,Dermacentor frontalis
6pU9CjVB3BlQFa2PMBlm,2021-03-29T04:38:34,Leeds,Passerine tick,Dermacentor frontalis
6ruABkzLtg3oDiSrv5Ru,2021-08-24T11:17:32,London,Passerine tick,Dermacentor frontalis
6uL0leRbGkixrE6S44ZA,2017-07-02T11:14:51,Manchester,Fox/badger tick,Ixodes canisuga
70TzB7ZFD0EyJFSwBC61,2018-01-27T19:35:18,Newcastle,Fox/badger tick,Ixodes canisuga
76V3xoOsWyo2hrWgm1kx,2019-03-28T16:14:20,Birmingham,Tree-hole tick,Ixodes arboricola
7KItgZxrEcugpfE5oCm4,2021-06-25T18:41:41,Sheffield,Southern rodent tick,Ixodes acuminatus
7RovjFKDhuLUoOvgFwTH,2023-09-17T22:19:35,Sheffield,Fox/badger tick,Ixodes canisuga
7VXMlHYUA3z07lov9SQl,2017-11-26T20:55:51,Edinburgh,Southern rodent tick,Ixodes acuminatus
7XWDtRF2fHFDUU0mePcz,2024-08-22T15:25:39,Newcastle,Fox/badger tick,Ixodes canisuga
7Ypw4iCBaUGSP936c4Vh,2017-12-27T04:08:37,Bristol,Southern rodent tick,Ixodes acuminatus
7bXdoYrNX2P2TaIXMUyw,2021-04-03T11:03:10,Glasgow,Passerine tick,Dermacentor frontalis
7m41XvCHtxrkq7yhOz0u,2016-02-25T06:35:51,Sheffield,Fox/badger tick,Ixodes canisuga
7oUykby0KgASEuB7HmsC,2021-10-29T19:02:08,Southampton,Tree-hole tick,Ixodes arboricola
7wM3049Ld2GQEaReLB2p,2021-10-16T09:53:37,Glasgow,Tree-hole tick,Ixodes arboricola
7ymlbFjZ8KBHBsOmkEsh,2012-03-09T04:01:56,Southampton,Tree-hole tick,Ixodes arboricola
81wmm1pbZoWSejo95arG,2022-10-04T12:54:27,Sheffield,Tree-hole tick,Ixodes arboricola
83WtbOyHXrd5r85gb5Vz,2024-12-30T04:32:12,Glasgow,Southern rodent tick,Ixodes acuminatus
85regVce6lxpbCsWqqI6,2013-03-29T01:00:45,Leicester,Southern rodent tick,Ixodes acuminatus
86qHZzj19gGxRmeG4Jth,2017-06-30T15:03:50,Manchester,Passerine tick,Dermacentor frontalis
8Ao9g5WrBiTrH35ruYVq,2015-12-04T18:43:16,Liverpool,Southern rodent tick,Ixodes acuminatus
8B0MI5mWSOphj8HYnScj,2022-08-21T19:30:46,Newcastle,Marsh tick,Ixodes apronophorus
8KzzKK3MzNRMvvMkvI64,2023-12-11T13:59:50,Birmingham,Fox/badger tick,Ixodes canisuga
8NABLMK5ofNxkd15JhBo,2012-03-19T11:26:34,Leicester,Tree-hole tick,Ixodes arboricola
8ORFBRRPnXUOCq1ybDcn,2019-08-10T17:47:55,Nottingham,Fox/badger tick,Ixodes canisuga
8QjHL9AYfAD2BNUS0J8p,2015-06-16T21:03:18,Liverpool,Southern rodent tick,Ixodes acuminatus
8SXVSF0bqI0Nwl9V8t75,2024-04-30T12:54:30,Glasgow,Passerine tick,Dermacentor frontalis
8SiJAWFQ04yYi7ThreGF,2022-11-17T21:26:27,Liverpool,Southern rodent tick,Ixodes acuminatus
8Xj6dsTyD4TOiMIdIsf3,2024-04-11T22:17:48,Southampton,Southern rodent tick,Ixodes acuminatus
8YAtzndoIpF2ZurbVyK8,2016-09-29T19:36:57,Newcastle,Marsh tick,Ixodes apronophorus
8dLyAYTdpx2jKF0nCeNC,2024-04-10T07:50:37,Manchester,Tree-hole tick,Ixodes arboricola
8evFSghoF3EDNCbe5mzm,2021-01-10T05:53:11,Nottingham,Passerine tick,Dermacentor frontalis
8fVd4SzqURqJgSVHOn7i,2012-11-09T20:55:01,Bristol,Tree-hole tick,Ixodes arboricola
8mdpwENCmmHsXuw4vKBi,2015-05-03T13:28:12,Sheffield,Southern rodent tick,Ixodes acuminatus
8nhE5TSJcL1oOld3OpVW,2023-06-17T13:08:18,Birmingham,Southern rodent tick,Ixodes acuminatus
8oE7yfH8FmN2lzDuN9XN,2014-12-16T18:24:05,Newcastle,Southern rodent tick,Ixodes acuminatus
8pKPaAZ7GsXY8mCQRrXT,2013-10-31T12:22:24,Manchester,Passerine tick,Dermacentor frontalis
8tPfltDuCe9bHXUP1szQ,2013-01-18T18:04:17,Liverpool,Marsh tick,Ixodes apronophorus
8ujl6nxHxcl83m3pc90o,2018-02-10T01:51:48,Southampton,Marsh tick,Ixodes apronophorus
8xX7IDgDPBkMukgrfqwA,2017-06-25T13:55:23,Birmingham,Passerine tick,Dermacentor frontalis
8xyuyUdQVTDfku3uONNs,2018-06-19T00:41:05,Manchester,Fox/badger tick,Ixodes canisuga
8yTkS1PSkdwgzh1ZCTKK,2021-09-19T16:37:07,Southampton,Tree-hole tick,Ixodes arboricola
95d6UcbocqaEIO52w10W,2017-07-27T03:16:45,Newcastle,Southern rodent tick,Ixodes acuminatus
9ArW7gk5hYYwnZruekQd,2018-11-17T12:14:14,Cardiff,Passerine tick,Dermacentor frontalis
9EFXCFxCVXy6apCASOs1,2015-12-06T05:58:08,Newcastle,Marsh tick,Ixodes apronophorus
9F7cM8AwvFiNIsdhqCqy,2014-04-05T09:05:51,Liverpool,Passerine tick,Dermacentor frontalis
9HEBCijRp1mMClmGYeyv,2018-02-06T19:57:00,Birmingham,Fox/badger tick,Ixodes canisuga
9Qvi7NJLHTbEip46s9Nv,2019-02-07T07:52:22,Manchester,Southern rodent tick,Ixodes acuminatus
9RInLb9D9Vr6Dl0gq8rw,2012-02-04T22:47:40,Newcastle,Passerine tick,Dermacentor frontalis
9Rz2vmcBSPcSDPFmyozl,2024-08-04T08:11:41,Glasgow,Passerine tick,Dermacentor frontalis
9WB23vVRf7JDX7dPijds,2024-08-12T15:18:06,Manchester,Fox/badger tick,Ixodes canisuga
9WcQRkW35tCOyRbwvaz8,2021-05-21T02:08:15,Leicester,Passerine tick,Dermacentor frontalis
9XSlCEU1yjI9JUanz9A1,2016-10-05T15:33:32,Glasgow,Southern rodent tick,Ixodes acuminatus
9b14enFIrnyjMb5Vswk9,2014-04-20T06:15:14,Nottingham,Fox/badger tick,Ixodes canisuga
9bCXNxlovKkRxtdPxMyO,2019-10-03T20:40:24,Glasgow,Tree-hole tick,Ixodes arboricola
9cEnX6Uq9ewnINedmf8w,2021-08-09T02:23:53,London,Marsh tick,Ixodes apronophorus
9gkZh8PpOMnklKoHaq7F,2018-07-25T00:41:17,Sheffield,Southern rodent tick,Ixodes acuminatus
9meABYFDEA9MMF5JaeRD,2021-05-01T05:31:35,Manchester,Southern rodent tick,Ixodes acuminatus
9nQaYeeaGAR6r7MQwNNr,2016-09-10T11:44:44,Leicester,Marsh tick,Ixodes apronophorus
9oDOTg3wpBm8rUkuFTPL,2019-03-04T23:42:49,Leicester,Tree-hole tick,Ixodes arboricola
9rActoXLFeIqJOyaA0qA,2021-03-14T04:09:23,Liverpool,Marsh tick,Ixodes apronophorus
9tWNppfl3kOOuNnNiNOk,2021-12-08T04:07:36,Southampton,Fox/badger tick,Ixodes canisuga
9tqlaH9WKbPRBiElq5RP,2012-05-02T23:28:49,London,Tree-hole tick,Ixodes arboricola
9v7TGhrB7HraQqUm6JmK,2024-10-20T07:20:12,Cardiff,Tree-hole tick,Ixodes arboricola
9vFF9tEofSP8UG0wlxRw,2015-04-30T13:08:43,Leeds,Tree-hole tick,Ixodes arboricola
9ylWW5ksm6XXVW59L6Mq,2019-11-18T03:47:55,Bristol,Tree-hole tick,Ixodes arboricola
A8rTatyF5W8IQkgvFNMG,2014-07-31T09:14:28,Nottingham,Tree-hole tick,Ixodes arboricola
A9tJpcNJFs01DoGnhyWc,2021-06-01T09:27:27,Liverpool,Fox/badger tick,Ixodes canisuga
ASeCrHxOBrh3XPTH4oMW,2014-12-22T01:09:21,Leicester,Passerine tick,Dermacentor frontalis
AVB48apRwFQaBP2pbWnS,2012-04-22T15:10:25,Cardiff,Southern rodent tick,Ixodes acuminatus
AWfSPr8mee4CQR8URsVD,2018-02-08T01:12:07,Manchester,Marsh tick,Ixodes apronophorus
AfFBFPpfAcRmUhiilk8E,2018-12-02T08:59:56,Bristol,Tree-hole tick,Ixodes arboricola
AiSNMSlxbrNWPX116Jve,2018-12-07T11:52:18,Bristol,Tree-hole tick,Ixodes arboricola
AiYCxGryVjZftdUsw7yl,2023-03-14T20:26:58,London,Passerine tick,Dermacentor frontalis
Aj8axp76ldkMgbu2W96m,2012-03-03T03:57:04,Newcastle,Southern rodent tick,Ixodes acuminatus
Am0gFpS5FFgjvZwLNB1W,2015-02-07T23:51:30,Leeds,Passerine tick,Dermacentor frontalis
Amf3180TYlpUoUakEsfk,2019-03-18T16:26:30,Sheffield,Southern rodent tick,Ixodes acuminatus
AoYEPQnOL8XSrFWnTvYP,2024-12-28T06:01:52,Birmingham,Southern rodent tick,Ixodes acuminatus
As4I1QJZHSoOTtIq0kHa,2024-07-27T05:28:39,Nottingham,Marsh tick,Ixodes apronophorus
B0pcUrBM6WnNlWhVMaQz,2014-03-31T01:30:21,Leicester,Tree-hole tick,Ixodes arboricola
B6CaPF49BQNLXAjsAQYg,2012-12-23T21:17:45,Leeds,Southern rodent tick,Ixodes acuminatus
BDRM729I8SWLrQ8yQL9P,2016-06-12T21:02:49,Bristol,Fox/badger tick,Ixodes canisuga
BInTrmnfjB0M87GY82MJ,2013-11-21T10:42:25,Bristol,Marsh tick,Ixodes apronophorus
BMgmni67ZqlwIV7kUQiW,2016-04-28T23:46:28,Newcastle,Fox/badger tick,Ixodes canisuga
BSNcTK5vwatLS1Na31tE,2023-01-09T11:43:17,Cardiff,Marsh tick,Ixodes apronophorus
BWB78fEQ3Viy58gMG9v6,2016-12-23T00:50:10,Glasgow,Fox/badger tick,Ixodes canisuga
